common name,genus,species,code,num
American Black Duck,Anas,rubripes,ABDU,1
Asian Brown Flycatcher,Muscicapa,dauurica,ABFL,5
Abert's Towhee,Melozone,aberti,ABTO,1
Acadian Flycatcher,Empidonax,virescens,ACFL,1
Acorn Woodpecker,Melanerpes,formicivorus,ACWO,1
African Silverbill,Euodice,cantans,AFSI,2
Akekee,Loxops,caeruleirostris,AKEK,3
Akiapolaau,Hemignathus,wilsoni,AKIA,3
Akikiki,Oreomystis,bairdi,AKIK,3
Akohekohe,Palmeria,dolei,AKOH,3
Alder Flycatcher,Empidonax,alnorum,ALFL,1
Allen's Hummingbird,Selasphorus,sasin,ALHU,1
Altamira Oriole,Icterus,gularis,ALOR,2
Aleutian Tern,Onychoprion,aleuticus,ALTE,2
Amaui,Myadestes,woahensis,AMAU,6
American Avocet,Recurvirostra,americana,AMAV,1
American Bittern,Botaurus,lentiginosus,AMBI,1
American Coot,Fulica,americana,AMCO,1
American Crow,Corvus,brachyrhynchos,AMCR,1
American Dipper,Cinclus,mexicanus,AMDI,1
American Flamingo,Phoenicopterus,ruber,AMFL,3
American Goldfinch,Spinus,tristis,AMGO,1
American Golden-Plover,Pluvialis,dominica,AMGP,1
American Kestrel,Falco,sparverius,AMKE,1
Amazon Kingfisher,Chloroceryle,amazona,AMKI,5
American Oystercatcher,Haematopus,palliatus,AMOY,1
American Pipit,Anthus,rubescens,AMPI,1
American Redstart,Setophaga,ruticilla,AMRE,1
American Robin,Turdus,migratorius,AMRO,1
American Wigeon,Mareca,americana,AMWI,1
American Woodcock,Scolopax,minor,AMWO,1
Anhinga,Anhinga,anhinga,ANHI,1
Anna's Hummingbird,Calypte,anna,ANHU,1
Anianiau,Magumma,parva,ANIA,2
Ancient Murrelet,Synthliboramphus,antiquus,ANMU,2
Antillean Nighthawk,Chordeiles,gundlachii,ANNI,2
Antillean Palm-Swift,Tachornis,phoenicobia,ANPS,5
Apapane,Himatione,sanguinea,APAP,2
Aplomado Falcon,Falco,femoralis,APFA,3
Arctic Loon,Gavia,arctica,ARLO,2
Arctic Tern,Sterna,paradisaea,ARTE,1
Arctic Warbler,Phylloscopus,borealis,ARWA,2
Arizona Woodpecker,Picoides,arizonae,ARWO,2
Asian Rosy-Finch,Leucosticte,arctoa,ASRF,5
Ashy Storm-Petrel,Oceanodroma,homochroa,ASSP,2
Ash-throated Flycatcher,Myiarchus,cinerascens,ATFL,1
Amethyst-throated Hummingbird,Lampornis,amethystinus,ATHU,5
Atlantic Puffin,Fratercula,arctica,ATPU,1
American Tree Sparrow,Spizelloides,arborea,ATSP,1
American Three-toed Woodpecker,Picoides,dorsalis,ATTW,2
Audubon's Oriole,Icterus,graduacauda,AUOR,2
Audubon's Shearwater,Puffinus,lherminieri,AUSH,1
American White Pelican,Pelecanus,erythrorhynchos,AWPE,1
Aztec Thrush,Ridgwayia,pinicola,AZTH,4
Bachman's Sparrow,Peucaea,aestivalis,BACS,2
Barred Owl,Strix,varia,BADO,1
Bald Eagle,Haliaeetus,leucocephalus,BAEA,1
Barrow's Goldeneye,Bucephala,islandica,BAGO,1
Bahama Swallow,Tachycineta,cyaneoviridis,BAHS,4
Baird's Sparrow,Ammodramus,bairdii,BAIS,2
Bahama Mockingbird,Mimus,gundlachii,BAMO,4
Bananaquit,Coereba,flaveola,BANA,4
Barn Owl,Tyto,alba,BANO,1
Bank Swallow,Riparia,riparia,BANS,1
Baltimore Oriole,Icterus,galbula,BAOR,1
Barnacle Goose,Branta,leucopsis,BARG,4
Barn Swallow,Hirundo,rustica,BARS,1
Baird's Sandpiper,Calidris,bairdii,BASA,1
Barolo Shearwater,Puffinus,baroli,BASH,5
Baikal Teal,Sibirionetta,formosa,BATE,4
Bachman's Warbler,Vermivora,bachmanii,BAWA,6
Bahama Woodstar,Calliphlox,evelynae,BAWO,5
Black-and-white Warbler,Mniotilta,varia,BAWW,1
Black-browed Albatross,Thalassarche,melanophris,BBAL,5
Black-billed Cuckoo,Coccyzus,erythropthalmus,BBCU,1
Buff-bellied Hummingbird,Amazilia,yucatanensis,BBEH,2
Buff-breasted Flycatcher,Empidonax,fulvifrons,BBFL,2
Broad-billed Hummingbird,Cynanthus,latirostris,BBIH,2
Broad-billed Sandpiper,Calidris,falcinellus,BBIS,4
Black-billed Magpie,Pica,hudsonia,BBMA,1
Black-bellied Plover,Pluvialis,squatarola,BBPL,1
Buff-breasted Sandpiper,Calidris,subruficollis,BBSA,1
Brown-backed Solitaire,Myadestes,occidentalis,BBSO,5
Black-bellied Storm-Petrel,Fregetta,tropica,BBSP,5
Bay-breasted Warbler,Setophaga,castanea,BBWA,1
Black-bellied Whistling-Duck,Dendrocygna,autumnalis,BBWD,1
Black-backed Woodpecker,Picoides,arcticus,BBWO,2
Black-capped Chickadee,Poecile,atricapillus,BCCH,1
Brown-crested Flycatcher,Myiarchus,tyrannulus,BCFL,1
Black-capped Gnatcatcher,Polioptila,nigriceps,BCGN,3
Black-chinned Hummingbird,Archilochus,alexandri,BCHU,1
Brown-chested Martin,Progne,tapera,BCMA,5
Black-crowned Night-Heron,Nycticorax,nycticorax,BCNH,1
Buff-collared Nightjar,Antrostomus,ridgwayi,BCNI,3
Black-capped Petrel,Pterodroma,hasitata,BCPE,2
Brown-capped Rosy-Finch,Leucosticte,australis,BCRF,2
Black-chinned Sparrow,Spizella,atrogularis,BCSP,1
Black-crested Titmouse,Baeolophus,atricristatus,BCTI,2
Black-capped Vireo,Vireo,atricapilla,BCVI,2
Belcher's Gull,Larus,belcheri,BEGU,5
Berylline Hummingbird,Amazilia,beryllina,BEHU,3
Belted Kingfisher,Megaceryle,alcyon,BEKI,1
Bermuda Petrel,Pterodroma,cahow,BEPE,3
Bell's Sparrow,Artemisiospiza,belli,BESP,1
Bendire's Thrasher,Toxostoma,bendirei,BETH,2
Bell's Vireo,Vireo,bellii,BEVI,1
Bewick's Wren,Thryomanes,bewickii,BEWR,1
Black-footed Albatross,Phoebastria,nigripes,BFAL,1
Blue-footed Booby,Sula,nebouxii,BFBO,4
Black-faced Grassquit,Tiaris,bicolor,BFGR,4
Blue-gray Gnatcatcher,Polioptila,caerulea,BGGN,1
Blue-gray Noddy,Anous,ceruleus,BGNO,3
Brown-headed Cowbird,Molothrus,ater,BHCO,1
Black-headed Grosbeak,Pheucticus,melanocephalus,BHGR,1
Black-headed Gull,Chroicocephalus,ridibundus,BHGU,3
Black-headed Nightingale-Thrush,Catharus,mexicanus,BHNT,5
Brown-headed Nuthatch,Sitta,pusilla,BHNU,1
Blue-headed Vireo,Vireo,solitarius,BHVI,1
Bishop's Oo,Moho,bishopi,BIOO,6
Bicknell's Thrush,Catharus,bicknelli,BITH,2
Black Kite,Milvus,migrans,BLAK,5
Blue Bunting,Cyanocompsa,parellina,BLBU,4
Blackburnian Warbler,Setophaga,fusca,BLBW,1
Black Francolin,Francolinus,francolinus,BLFR,2
Blue Grosbeak,Passerina,caerulea,BLGR,1
Black Guillemot,Cepphus,grylle,BLGU,1
Blue Jay,Cyanocitta,cristata,BLJA,1
Black-legged Kittiwake,Rissa,tridactyla,BLKI,1
Black Mamo,Drepanis,funerea,BLMA,6
Blue Mockingbird,Melanotis,caerulescens,BLMO,5
Black Noddy,Anous,minutus,BLNO,2
Black Oystercatcher,Haematopus,bachmani,BLOY,1
Black Phoebe,Sayornis,nigricans,BLPH,1
Blackpoll Warbler,Setophaga,striata,BLPW,1
Black Rail,Laterallus,jamaicensis,BLRA,2
Black Rosy-Finch,Leucosticte,atrata,BLRF,2
Black Scoter,Melanitta,americana,BLSC,1
Black Skimmer,Rynchops,niger,BLSK,1
Black Storm-Petrel,Oceanodroma,melania,BLSP,2
Black Swift,Cypseloides,niger,BLSW,2
Black Tern,Chlidonias,niger,BLTE,1
Black-tailed Godwit,Limosa,limosa,BLTG,3
Black Turnstone,Arenaria,melanocephala,BLTU,1
Bluethroat,Luscinia,svecica,BLUE,2
Black Vulture,Coragyps,atratus,BLVU,1
Black-necked Stilt,Himantopus,mexicanus,BNST,1
Bobolink,Dolichonyx,oryzivorus,BOBO,1
Boreal Chickadee,Poecile,hudsonicus,BOCH,1
Bonaparte's Gull,Chroicocephalus,philadelphia,BOGU,1
Boreal Owl,Aegolius,funereus,BOOW,2
